dato,datetime,air_temp_avg,air_temp_min,surface_temp_avg,surface_temp_min,temp_diff,wind_avg,wind_max,gust_max,precip_total,precip_duration,snow_depth,snow_change,humidity_avg,dew_point_avg,scenario
10. jan. 2024,2024-01-10 15:13:00,2.0500000000000003,1.4,-7.55,-8.9,9.6,1.1,2.0,3.4,0.0,0.0,29.916666666666668,0.1999999999999993,34.833333333333336,-12.616666666666667,FRYSEFARE
13. jan. 2024,2024-01-13 04:46:00,-0.4000000000000001,-1.3,-0.8166666666666668,-1.8,0.4166666666666667,2.1166666666666667,3.2,6.9,5.3999999999999995,316.0,30.666666666666668,5.099999999999998,97.5,-0.8666666666666667,NYSNØ
17. jan. 2024,2024-01-17 09:05:00,-7.150000000000001,-8.6,-12.816666666666665,-16.9,5.666666666666663,1.05,2.0,6.4,0.0,0.0,55.38333333333333,-0.7999999999999972,83.16666666666667,-10.183333333333332,ANNET
19. jan. 2024,2024-01-19 16:59:00,-4.633333333333334,-5.7,-7.349999999999999,-9.6,2.716666666666665,1.2166666666666668,2.8,6.6,0.7,70.0,69.86666666666666,0.7000000000000028,88.0,-6.666666666666667,ANNET
19. jan. 2024,2024-01-19 07:02:00,-6.083333333333333,-7.2,-6.6499999999999995,-7.5,0.5666666666666664,1.8500000000000003,3.1,7.9,4.2,332.0,67.21666666666667,5.299999999999997,93.16666666666667,-7.033333333333332,NYSNØ
20. jan. 2024,2024-01-20 00:00:00,-4.785714285714286,-5.4,-7.171428571428572,-13.2,2.385714285714286,1.2,2.9,4.4,1.4000000000000001,333.0,71.45714285714286,4.200000000000003,88.85714285714286,-6.757142857142857,ANNET
21. jan. 2024,2024-01-21 07:50:00,1.5666666666666667,1.1,0.18333333333333335,0.0,1.3833333333333333,5.616666666666667,7.7,13.6,1.5000000000000002,60.0,74.9,-2.4000000000000057,88.83333333333333,-0.35000000000000003,ANNET
22. jan. 2024,2024-01-22 18:22:00,1.616666666666667,0.9,0.16666666666666666,-0.1,1.4500000000000002,5.066666666666666,6.0,19.3,12.799999999999999,360.0,60.11666666666667,1.8999999999999986,91.66666666666667,0.01666666666666668,SLAPS
23. jan. 2024,2024-01-23 08:57:00,1.6500000000000001,1.4,0.04999999999999999,-0.5,1.6,6.783333333333334,8.8,14.8,0.2,88.0,61.75,-1.2000000000000028,79.0,-1.7166666666666668,ANNET
25. jan. 2024,2024-01-25 14:03:00,0.5499999999999999,-0.2,-1.1666666666666667,-3.1,1.7166666666666668,1.3166666666666669,1.8,4.0,0.0,2.0,56.06666666666667,0.0,90.5,-1.1833333333333333,FRYSEFARE
26. jan. 2024,2024-01-26 08:54:00,3.4166666666666665,3.3,0.55,0.5,2.8666666666666663,6.033333333333332,7.6,14.9,2.9000000000000004,206.0,54.65,-0.8000000000000043,82.5,0.11666666666666668,ANNET
28. jan. 2024,2024-01-28 15:32:00,3.066666666666667,2.4,-0.04999999999999999,-0.8,3.1166666666666667,2.8666666666666667,3.4,5.9,0.0,0.0,51.650000000000006,-0.10000000000000142,69.0,-2.2499999999999996,FRYSEFARE
1. feb. 2024,2024-02-01 04:40:00,-1.3,-1.6,-2.2,-2.8,0.9000000000000001,7.599999999999999,9.7,22.4,2.3,217.0,73.38333333333333,-0.6000000000000085,88.33333333333333,-3.4,NYSNØ
2. feb. 2024,2024-02-02 10:29:00,2.1,-0.1,0.3833333333333333,-0.4,1.7166666666666668,2.0,2.6,6.2,11.6,360.0,88.78333333333335,-5.700000000000003,98.16666666666667,1.75,SLAPS
2. feb. 2024,2024-02-02 06:12:00,-0.21666666666666667,-0.9,-0.44999999999999996,-1.0,0.23333333333333328,1.4333333333333333,2.4,4.1,10.5,360.0,86.85000000000001,7.599999999999994,97.83333333333333,-0.5499999999999999,NYSNØ
4. feb. 2024,2024-02-04 08:42:00,-0.049999999999999996,-0.6,-0.6166666666666667,-0.8,0.5666666666666667,7.150000000000001,9.8,18.7,6.299999999999999,340.0,67.51666666666667,-7.0,93.5,-1.2166666666666668,NYSNØ
7. feb. 2024,2024-02-07 07:22:00,-7.883333333333333,-9.5,-12.883333333333333,-16.7,5.0,1.6500000000000001,2.9,4.2,0.0,37.0,74.55,-0.29999999999999716,90.33333333333333,-9.983333333333334,ANNET
8. feb. 2024,2024-02-08 09:58:00,-4.8,-5.5,-7.800000000000001,-11.3,3.000000000000001,0.3833333333333333,1.3,2.8,0.1,108.0,79.78333333333335,-0.5,93.5,-6.133333333333333,ANNET
